Page,IP,Time,Browser
/artists.html,10.0.0.1,2025-11-13 16:33:12.328378,Chrome
/customers.html,10.0.0.1,2025-11-13 17:45:12.328378,Firefox
/artists.html,10.0.0.1,2025-11-13 16:57:12.328378,Edge
/artists.html,172.16.0.1,2025-11-13 16:40:12.328378,Safari
/products.html,172.16.0.1,2025-11-13 17:14:12.328378,Safari
/artists.html,192.168.1.2,2025-11-13 17:16:12.328378,Chrome
/index.html,192.168.1.1,2025-11-13 17:55:12.328378,Firefox
/index.html,192.168.1.2,2025-11-13 16:40:12.328378,Safari
/customers.html,192.168.1.1,2025-11-13 17:41:12.328378,Chrome
/index.html,172.16.0.1,2025-11-13 16:40:12.328378,Chrome
/products.html,172.16.0.1,2025-11-13 16:57:12.328378,Firefox
/index.html,192.168.1.2,2025-11-13 17:02:12.328378,Edge
/customers.html,192.168.1.1,2025-11-13 17:26:12.328378,Chrome
/artists.html,172.16.0.1,2025-11-13 17:13:12.328378,Edge
/artists.html,172.16.0.1,2025-11-13 17:51:12.328378,Safari
/customers.html,10.0.0.1,2025-11-13 16:28:12.328378,Chrome
/customers.html,172.16.0.1,2025-11-13 17:49:12.328378,Firefox
/artists.html,192.168.1.2,2025-11-13 17:00:12.328378,Firefox
/customers.html,172.16.0.1,2025-11-13 18:02:12.328378,Edge
/customers.html,172.16.0.1,2025-11-13 16:57:12.328378,Chrome
/customers.html,172.16.0.1,2025-11-13 17:25:12.328378,Firefox
/products.html,192.168.1.2,2025-11-13 16:37:12.328378,Firefox
/customers.html,10.0.0.1,2025-11-13 17:29:12.328378,Chrome
/customers.html,192.168.1.1,2025-11-13 16:41:12.328378,Chrome
/customers.html,10.0.0.1,2025-11-13 16:36:12.328378,Chrome
/index.html,172.16.0.1,2025-11-13 18:20:12.328378,Firefox
/artists.html,10.0.0.1,2025-11-13 16:59:12.328378,Safari
/artists.html,10.0.0.1,2025-11-13 16:32:12.328378,Chrome
/artists.html,192.168.1.1,2025-11-13 17:08:12.328378,Edge
/artists.html,192.168.1.1,2025-11-13 16:44:12.328378,Firefox
/products.html,172.16.0.1,2025-11-13 16:48:12.328378,Edge
/products.html,172.16.0.1,2025-11-13 18:21:12.328378,Edge
/customers.html,192.168.1.2,2025-11-13 17:32:12.328378,Edge
/index.html,10.0.0.1,2025-11-13 16:32:12.328378,Chrome
/artists.html,172.16.0.1,2025-11-13 18:25:12.328378,Firefox
/customers.html,192.168.1.1,2025-11-13 17:49:12.328378,Firefox
/customers.html,192.168.1.2,2025-11-13 18:24:12.328378,Safari
/customers.html,192.168.1.2,2025-11-13 16:44:12.328378,Edge
/customers.html,192.168.1.1,2025-11-13 17:37:12.328378,Chrome
/customers.html,192.168.1.2,2025-11-13 17:40:12.328378,Firefox
/artists.html,172.16.0.1,2025-11-13 16:33:12.328378,Chrome
/products.html,172.16.0.1,2025-11-13 17:47:12.328378,Safari
/artists.html,10.0.0.1,2025-11-13 16:33:12.328378,Chrome
/index.html,192.168.1.1,2025-11-13 16:46:12.328378,Safari
/products.html,192.168.1.2,2025-11-13 17:25:12.328378,Edge
/customers.html,192.168.1.2,2025-11-13 17:29:12.328378,Chrome
/index.html,192.168.1.1,2025-11-13 18:13:12.328378,Firefox
/customers.html,172.16.0.1,2025-11-13 17:02:12.328378,Safari
/products.html,192.168.1.2,2025-11-13 17:26:12.328378,Firefox
/products.html,172.16.0.1,2025-11-13 16:36:12.328378,Edge
